tiger_map_hawaii.pg,33558,80882,15,16,270288,9.49423,0.094375,28.2646
planar_embedding1000000.pg,1000000,2999978,19,20,26561008,152.66,0.181805,1869.84
worldcitiespop.pg,2243467,6730395,21,23,63624044,249.168,0.244375,4676.41
